Quote,Author,Source,Tags
"The best way to predict the future is to create it","Abraham Lincoln","","time"
"In the end, it's not the years in your life that counts. It's the years in your life","Abraham Lincoln","","life"
"My only regret, Anna - but is it only one? - is to not have finished anything. I left all as a draft, shattered words here and there.","Alexandre in Bruno Ganz: Alexandros","",""
"You either die a hero or live long enough to see yourself become the villain","Batman","","mortality"
"The truth is everyone is going to hurt you. You just got to find the ones worth suffering for","Bob Marley","","suffering"
"The pain I feel now is the happiness I had before. That's the deal","C.S. Lewis","","suffering"
"To love at all is to be vulnerable. Love anything, and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact, you must give your heart to no one, not even to an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements; lock it up safe in the casket or coffin of your selfishness. But in that casket—safe, dark, motionless, airless—it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. The alternative to tragedy, or at least to the risk of tragedy, is damnation. The only place outside Heaven where you can be perfectly safe from all the dangers and perturbations of love is Hell.","C.S. Lewis","","love, art"
"If you're going to try, go all the way. Otherwise, don't even start. This could mean losing girlfriends, wives, relatives and maybe even your mind. It could mean not eating for three or four days. It could mean freezing on a park bench. It could mean jail. It could mean derision. It could mean mockery--isolation. Isolation is the gift. All the others are a test of your endurance, of how much you really want to do it. And, you'll do it, despite rejection and the worst odds. And it will be better than anything else you can imagine. If you're going to try, go all the way. There is no other feeling like that. You will be alone with the gods, and the nights will flame with fire. You will ride life straight to perfect laughter. It's the only good fight there is","Charles Bukowski","","life, wisdom, art"
"Difficulties mastered are opportunities won","Churchill","",""
"We can't change the direction of the wind, but we can adjust the sails","Cora L.V. Hatch","",""
"Don't cry because it's over, smile because it happened","Dr. Seuss","",""
"Sometimes you will never know the value of a moment until it becomes a memory","Dr. Seuss","","time"
"The reason for time is so that everything doesn't happen at once","Einstein","","time"
"We feel free when we escape, even if it be but from the frying pan and into the fire","Eric Hoffer","",""
"Cowards never start, the weak never finish","Father Fehily","","art"
"Wise too late, old too soon","Father Fehily","","wisdom"
"Life moves pretty fast, if you don't stop and stare for a while, it might pass you by","Ferris Bueller","","life"
"Without leaps of imagination, you lose the excitement of possibility.","Gloria Steinem","",""
"Everyone, deep in their hearts, is waiting for the end of the world to come","Haruki Marakami","","art"
"Pain is inevitable. Suffering is optional.","Haruki Murakami","","suffering"
"There's nothing noble in being superior to your fellow man. True nobility is being superior to your former self","Hemmingway","",""
"No man ever steps in the same river twice, for it's not the same river and he's not the same man","Heraclitus","",""
"Artists without an air of loneliness are boring","Hidemi Kon","","art"
"If I have seen further, it is by standing on the shoulders of giants","Isaac Newton","",""
"One day I will find the right words, and they will be simple","Jack Kerouac","",""
"Life is more manageable when thought of as a scavenger hunt as opposed to a surprise party","Jimmy Buffett","","life, art"
"All happy families are alike, but every unhappy family is unhappy in its own way","Leo Tolstoy","",""
"Simplicity is the ultimate sophistication","Leonardo da Vinci","",""
"""Oh, you can't help that"", said the cat. ""We're all mad here""","Lewis Carroll","",""
"Often to understand, we have to look into emptiness","Michelangelo Antonioni","",""
"Death is nothing, but to live defeated and inglorious is to die daily","Napoleon","","mortality"
"I know no better purpose for life than to die in service of the great and the impossible","Nietzsche","","life, mortality"
"Pretend to be completely in control, and people will assume you are","Nolan Bushnell to Steve Jobs","",""
"If you want a happy ending, it depends on where you stop the story","Orson Welles","",""
"To cure the soul by means of the senses, and senses by means of the soul","Oscar Wilde","","spirituality"
"Every portrait that is painted with feeling is a portrait of the artist, not of the sitter. The sitter is merely the accident, the occasion. It is not he who is revealed by the painter; it is rather the painter who, on the coloured canvas, reveals himself","Oscar Wilde","","art, suffering"
"Conscience and cowardice are really the same things, Basil. Conscience is the trade-name of the firm. That is all","Oscar Wilde","",""
"Good artists copy, great artists steal","Picasso","","art"
"There are many things of which a wise man may wish to be ignorant","Ralph Emerson","","wisdom"
"So we beat on, boats against the current, borne back ceaselessly into the past","Scott F. Fitzgerald","","time"
"His sturdy egoism could no longer sustain his peremptory heart","Scott F. Fitzgerald","","art"
"A rose by any other name would smell as sweet","Shakespeare","",""
"One that has loved not wisely, but too well","Shakespeare","","love, wisdom"
"Parting is such sweet sorrow","Shakespeare","","art"
"The unexamined life is not worth living","Socrates","","life"
"Better to be a pirate than join the navy","Steve Jobs","",""
"The end is where we start from","T.S. Eliot","","art"
"We beat well worn paths","Unknown","",""
"You should be aware of the system but lose yourself in it","Unknown","",""
"I find my truest self in solitude","Unknown","",""
"People are who they are","Unknown","",""
"In the end, it's all about old friends","Unknown","",""
"We're not all one thing","Unknown","",""
"We all wear masks, and the time comes when we cannot remove them without removing some of our own skin","Unknown","","time"
"Never make decisions when you're reeling from a loss","Unknown","",""
"The best things in life lie on the other side of sacrifice","Unknown","","life"
"I know of no better life purpose than to perish in attempting the great and impossible. The fact that something seems impossible shouldn't be a reason to not pursue it. That's exactly what makes it worth pursuing, where would the courage and greatness be if success was certain and there was no risk. The only true failure is shrinking away from life's challenges.","Unknown","","life"
